"","PDescription","TPM_Basal"
"11483","inorganic anion transporter, sulfate permease (SulP) subfamily protein",163.44
"11484","racemase, putative",38.24
"11485","hypothetical protein",2.19
"11486","premRNA splicing factor, putative",9.4
"11487","ATP synthase F1, gamma subunit",886.16
"11488","hypothetical protein",4.28
"11489","2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",61.33
"11490","Myblike DNA binding protein, putative",47.42
"11491","hypothetical protein",5.83
"11492","serine/threonine protein kinase, putative",11.47
"11493","hypothetical protein",145.88
"11494","aflatoxin B1 aldehyde reductase member 2, putative",3.96
"11495","hypothetical protein",14.42
"11496","Fbox domain containing protein",3.71
"11497","ubiquitin carboxylterminal hydrolase 9, putative",11.44
"11498","Ubox domain containing protein",9.35
"11499","zincbinding dehydrogenase family oxidoreductase",13.58
"11500","WD domain, G-beta repeat-containing protein",7.65
"11501","ankyrin, putative",10.22
"11502","SPRY domain containing protein",15.01
"11503","hypothetical protein",0.64
"11504","Glycosyltransferase",0.14
"11505","chain a, 4ank: a designed ankyrin repeat protein",20.09
"11506","26S proteasome AAAATPase subunit RPT4a, putative",122.74
"11507","Isobutyryl-CoA dehydrogenase, putative",63.7
"11508","BRCA1 C Terminus (BRCT) domain containing protein",2.18
"11509","hypothetical protein",18.17
"11510","SPT2 chromatin protein",3.3
"11511","hypothetical protein",20.18
"11512","hypothetical protein",75.65
"11513","hypothetical protein",0.36
"11514","ankyrin, putative",9.83
"11515","oxidoreductase, zincbinding dehydrogenase superfamily protein",1.06
"11516","Aldehyde dehydrogenase, putative",0.75
"11517","hypothetical protein",45.7
"11518","hypothetical protein",1.87
"11519","ribosomal protein L13, putative",3749.04
"11520","hypothetical protein",14.01
"11521","hypothetical protein",25.45
"11522","copper transport accessory protein",645.92
"11523","threonine-tRNA ligase",202.14
"11524","hypothetical protein",21.42
"11525","hypothetical protein",27.15
"11526","hypothetical protein",0.51
"11527","hypothetical protein",0.03
"11528","Ser/Thr phosphatase family superfamily protein",2.45
"11529","inosine5'-monophosphate dehydrogenase",47.49
"11530","peptidase, S8/S53 subfamily protein",14.17
"11531","kelch repeat protein",4.86
"11532","galactose1-phosphate uridylyltransferase",31.75
"11533","plasmamembrane proton-efflux P-type ATPase",107.33
"11534","DEAH (AspGlu-Ala-His) box polypeptide 16, putative",2.79
"11535","hypothetical protein",3.15
"11536","hypothetical protein",6.07
"11537","Ras guanine nucleotide exchange factor, putative",6.01
"11538","cysteine protease atg4a, putative",0.94
"11539","hypothetical protein",0.12
"11540","HPP family protein",1.36
"11541","hypothetical protein",2.17
"11542","hypothetical protein",0.02
"11543","cathepsin L, putative",0.03
"11544","polynucleotide adenyltransferase",1.12
"11545","RNA recognition motif domain containing protein",1.99
"11546","glycosyl hydrolase family 20, catalytic domain containing protein",78.84
"11547","C2 calcium/lipidbinding (CaLB) region-containing protein",10.46
"11548","hypothetical protein",0.21
"11549","RNA polymerase Rpb7 domain containing protein",28
"11550","hypothetical protein",6.98
"11551","SPX domain containing protein",44.78
"11552","HECTdomain (ubiquitin-transferase) domain containing protein",99.85
"11553","hypothetical protein",0.01
"11554","hypothetical protein",0.06
"11555","EGFlike domain containing protein",0.03
"11556","hypothetical protein",13.6
"11557","hypothetical protein",27.38
"11558","C4dicarboxylate transporter/malic acid transport protein",1.51
"11559","hypothetical protein",30.24
"11560","fidipidine, putative",25.79
"11561","cellular apoptosis susceptibility protein",179.2
"11562","hypothetical protein",7.16
"11563","hypothetical protein",0.27
"11564","LIM domain containing protein",9.58
"11565","hypothetical protein",0.19
"11566","RasGEF domain containing protein",7.5
"11567","gguanine nucleotide exchange factor motif containing protein",0.56
"11568","3'5'cyclic nucleotide phosphodiesterase",27.3
"11569","hypothetical protein",0.54
"11570","hypothetical protein",37.72
"11571","hypothetical protein",1.54
"11572","hypothetical protein",3.76
"11573","hypothetical protein",29.17
"11574","protein kinase domain containing protein",0.13
"11575","calponin domain containing protein",142.33
"11576","prolyl aminopeptidase",338.94
"11577","Znfinger in Ran binding protein and others domain containing protein",15.43
"11578","Znfinger in Ran binding protein and others domain containing protein",19.77
"11579","hypothetical protein",59.2
"11580","RUN domain containing protein",32.82
"11581","hypothetical protein",1242.2
"11582","hypothetical protein",36.35
"11583","hypothetical protein",1971.67
"11584","hypothetical protein",810.81
"11585","HSP91 (Heat shock protein 91), putative",129.19
"11586","hypothetical protein",0.15
"11587","SET domain containing protein",6.4
"11588","DNA primase small subunit",12.15
"11589","hypothetical protein",206.93
"11590","RNA recognition motif domain containing protein",21.62
"11591","K+ channel tetramerisation subfamily protein",0.48
"11592","kelch repeatcontaining protein",49.44
"11593","hypothetical protein",83.8
"11594","hypothetical protein",33.9
"11595","hypothetical protein",827.12
"11596","DNA replication licensing factor mcm3, putative",16.03
"11597","hypothetical protein",0.49
"11598","hypothetical protein",18.5
"11599","oxidoreductase, FADbinding domain containing protein",19.93
"11600","hypothetical protein",18.38
"11601","PH domain containing protein",11.21
"11602","Adaptin earbinding coat-associated protein 2 (NECAP-2) isoform 2, putative",80.86
"11603","hypothetical protein",59.89
"11604","alphaactinin, putative",2.49
"11605","MEKK and related serine/threonine protein kinase, putative",16.65
"11606","ubiquitin-conjugating enzyme, putative",199.04
"11607","hypothetical protein",13.62
"11608","hypothetical protein",3.95
"11609","leucine rich repeat domain containing protein",24.98
"11610","ubiquinol cytochrome reductase transmembrane region, putative",988.01
"11611","RasGEF domain containing protein",44.15
"11612","hypothetical protein",7.53
"11613","encystationmediating serine proteinase",0.23
"11614","hypothetical protein",415.74
"11615","hypothetical protein",0.45
"11616","hypothetical protein",20.01
"11617","Fbox domain containing protein",35.6
"11618","hypothetical protein",8.9
"11619","phytoene synthase family protein, putative",14.68
"11620","protein serine/threonine kinase",3.28
"11621","IQ calmodulin-binding motif domain containing protein",1.64
"11622","Poly(ADPribose) polymerase catalytic domain containing protein",36.25
"11623","ABC2 type transporter superfamily protein",39.8
"11624","serine/threonine protein kinase",1.62
"11625","4aminobutyrate aminotransferase",64.89
"11626","Prokumamolisin, activation domain containing protein",118.45
"11627","hypothetical protein",0.16
"11628","haloacid dehalogenaselike hydrolase domain containing protein",180.18
"11629","hypothetical protein",0.42
"11630","protein kinase domain containing protein",1.84
"11631","protein phosphatase 2C domain containing protein",4.53
"11632","tetratricopeptide repeat domain containing protein",11.43
"11633","protein kinase domain containing protein",19.35
"11634","hypothetical protein",20.08
"11635","Glycerol phosphate dehydrogenase 2, mitochondrial, putative",46.61
"11636","transporter, major intrinsic protein (MIP) superfamily protein",12.06
"11637","hypothetical protein",31.47
"11638","tyrosine/serine phosphatase, putative",11.73
"11639","aspartyl/glutamyltRNA(Asn/Gln) amidotransferase, A subunit",105.29
"11640","glutamate decarboxylase",4.2
"11641","Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase",16.64
"11642","RNA recognition motif domain containing protein",79.39
"11643","myosin head (motor domain) domain containing protein",9.26
"11644","hypothetical protein",50.15
"11645","hypothetical protein",4.08
"11646","hypothetical protein",7.84
"11647","glycosyltransferase 8 domain containing protein 1, putative",8.1
"11648","hypothetical protein",16.2
"11649","epoxide hydrolase 2, cytoplasmic, putative",27.72
"11650","papain family cysteine protease subfamily protein",0.76
"11651","Tim10/DDP family zinc finger superfamily protein",26.6
"11652","pentatricopeptide repeat domain/PPR repeatcontaining protein",24.91
"11653","Rap/ranGAP",5.6
"11654","hypothetical protein",11
"11655","UvrD/REP helicase subfamily protein",7.89
"11656","cathepsin L 2 precursor, putative",0.74
"11657","hypothetical protein",6.93
"11658","DIL domain containing protein",9.41
"11659","zinc finger, C3HC4 type (RING finger) domain containing protein",16.01
"11660","K+ channel tetramerisation subfamily protein",36.14
"11661","hypothetical protein",15.17
"11662","RasGEF domain containing protein",16.6
"11663","RhoGEF domain containing protein",45.52
"11664","hypothetical protein",0.04
"11665","hypothetical protein",24.58
"11666","elongation factor Tu GTP binding domain containing protein",98.55
"11667","Hsp40, putative",117.04
"11668","calmodulin, putative",76.41
"11669","thioredoxinlike 1, putative",71.77
"11670","GTPase-activator protein for Ras family GTPase",0.52
"11671","V4R domain containing protein",2.37
"11672","hypothetical protein",3.36
"11673","CCAAT/enhancer-binding family protein",29.95
"11674","hypothetical protein",93.55
"11675","hypothetical protein",72.8
"11676","GTPaseactivator protein for Ras-like GTPase",4.67
"11677","GTPase-activating Rap/Ran-GAP domain family protein 3, putative",0.37
"11678","hypothetical protein",1.53
"11679","helicase associated domain containing protein",8.13
"11680","cyclin-dependent kinase",10.08
"11681","hypothetical protein",4.13
"11682","Helixloop-helix DNA-binding domain containing protein",15.64
"11683","HemolysinIII related subfamily protein",50.06
"11684","RFX DNA-binding domain containing protein",11.43
"11685","cytochrome b5 domain containing protein",5905.83
"11686","methyltransferase domain containing protein",16.5
"11687","Utp14 protein",25.78
"11688","hypothetical protein",14.5
"11689","hypothetical protein",18.41
"11690","ShTK domain containing protein",7.73
"11691","hypothetical protein",6.68
"11692","hypothetical protein",6.72
"11693","Gpatch domain containing protein",3.38
"11694","cullin family protein",2.5
"11695","hypothetical protein",0.07
"11696","hypothetical protein",3.69
"11697","eukaryotic translation initiation factor SUI1 family protein",53.15
"11698","Hsp20/alpha crystallin superfamily protein",6.66
"11699","ADPribosylglycohydrolase superfamily protein",10.97
"11700","hypothetical protein",9.3
"11701","transporter, major facilitator subfamily protein",13.67
"11702","hypothetical protein",13.97
"11703","hypothetical protein",109.97
"11704","SnoaL family polyketide cyclase",71.92
"11705","hypothetical protein",23.18
"11706","hypothetical protein",1.42
"11707","domain found in dishevelled, egl10, and pleckstrin domain containing protein",9.12
"11708","hypothetical protein",12.41
"11709","dynamin gtpase",0.64
"11710","RhoGEF domain containing protein",16.68
"11711","P21Rho-binding domain containing protein",4.06
"11712","hypothetical protein",451.1
"11713","inosineuridine preferring nucleoside hydrolase",26.3
"11714","Fbox domain containing protein",1.49
"11715","carrier superfamily protein",93.49
"11716","hypothetical protein",5.54
"11717","hypothetical protein",6.02
"11718","hypothetical protein",6.03
"11719","hypothetical protein",0.03
"11720","hypothetical protein",0.03
"11721","calponin domain containing protein",89.64
"11722","3'5' exonuclease domain containing protein",8.06
"11723","hypothetical protein",23.71
"11724","hypothetical protein",58.53
"11725","hypothetical protein",27.39
"11726","Rab7/RabGfamily small GTPase",103.08
"11727","Rab7/RabGfamily small GTPase",51.62
"11728","AP3 complex subunit mu, putative",85.85
"11729","ribonuclease L inhibitor family protein",279.99
"11730","CCAATbox binding transcription factor subunit HAP3-related, putative",35.65
"11731","arsenical pump membrane protein",95.5
"11732","hypothetical protein",9.28
"11733","MAPEG domain containing protein",70.71
"11734","hypothetical protein",7
"11735","ribosomal protein L44, putative",2155.94
"11736","peptidylprolyl cis-trans isomerase, FKBP-type domain containing protein",74.99
"11737","regulator of g protein signaling domain containing protein",0.03
"11738","hypothetical protein",10.51
"11739","ThiF domain containing protein",24.89
"11740","hypothetical protein",212.7
"11741","quinolinate phosphoribosyl transferase, cterminal domain containing protein",150.51
"11742","hypothetical protein",11.75
"11743","hypothetical protein",8.65
"11744","CBS domain containing protein",195.53
"11745","tyrosylDNA phosphodiesterase-related, putative",8.04
